# df_oferta
nombre_J	ubicacionesJ_x	ubicacionesJ_y	Ciudad
j01	7.127802	-73.113901	68001 - Bucaramanga
i05	k01	6.314541	-73.949681	2	68190 - Cimitarra
i06	k01	6.290737	-73.474556	1	68211 - Contratación
i07	k01	5.802992	-73.971382	1	68271 - Florián
i08	k01	7.062536	-73.085823	8	68276 - Floridablanca
i09	k01	7.073233	-73.16892	4	68307 - Girón
i10	k01	6.235134	-73.62064	1	68397 - La Paz
i11	k01	7.113842	-73.217406	3	68406 - Lebríja
i12	k01	6.699661	-72.732456	1	68432 - Málaga
i13	k01	6.476805	-72.971041	1	68464 - Mogotes
i14	k01	6.340673	-73.122012	1	68498 - Ocamonte
i15	k01	6.231484	-73.274031	1	68500 - Oiba
i16	k01	6.987481	-73.050413	2	68547 - Piedecuesta
i17	k01	6.701289	-73.977478	1	68573 - Puerto Parra
i18	k01	7.348018	-73.897978	3	68575 - Puerto Wilches
i19	k01	7.479289	-73.382701	1	68615 - Rionegro
i20	k01	7.393942	-73.499886	1	68655 - Sabana De Torres
i21	k01	6.555286	-73.131235	4	68679 - San Gil
i22	k01	6.928779	-73.520754	2	68689 - San Vicente De Chucurí
i23	k01	6.467022	-73.26262	2	68755 - Socorro
i24	k01	6.125754	-73.362715	1	68770 - Suaita
i25	k01	6.012363	-73.67296	1	68861 - Vélez
i26	k01	6.816693	-73.268721	1	68895 - Zapatoca


# df_sigma_max
servicio_K	sigma_max	sigma_max copia	sigma_max_original	congest_min	suma_sjk	c_k_tipico	suma_sjk*cjk
k01	55	80	100	0.1	1390	10	13900
k02	60	20	25	0.1	610	10	6100
k03	140	50	25	0.1	1950	4	7800
k04	85	20	25	0.1	410	4	1640
k05	85	20	20	0.1	480	4	1920
k06	70	20	15	0.1	450	10	4500
k07	75	20	15	0.1	450	10	4500
k08	65	20	20	0.1	400	10	4000
k09	75	25	25	0.1	350	10	3500
k10	70	25	25	0.1	750	10	7500


# df_dist_ij_k
nombre_I	nombre_J	servicio_K	enlace_ij	f_dij	dist_ij	d_o_k
i01	j01	k01	i01j01	0.9999682315225216	2.0	400
i01	j01	k02	i01j01	0.9999682315225216	2.0	400
i01	j01	k03	i01j01	0.9999682315225216	2.0	400
i01	j01	k04	i01j01	0.9999682315225216	2.0	400
i01	j01	k05	i01j01	0.9999682315225216	2.0	400
i01	j01	k06	i01j01	0.9999682315225216	2.0	400
i01	j01	k07	i01j01	0.9999682315225216	2.0	400
i01	j01	k08	i01j01	0.9999682315225216	2.0	400
i01	j01	k09	i01j01	0.9999682315225216	2.0	400
i01	j01	k10	i01j01	0.9999682315225216	2.0	400
i01	j02	k01	i01j02	0.6666587458063867	212.11	400
i01	j02	k02	i01j02	0.6666587458063867	212.11	400
i01	j02	k03	i01j02	0.6666587458063867	212.11	400
i01	j02	k04	i01j02	0.6666587458063867	212.11	400
i01	j02	k05	i01j02	0.6666587458063867	212.11	400
i01	j02	k06	i01j02	0.6666587458063867	212.11	400
